Genero,Campesino,Estrato,Autoidentificacion_Etnica,NIvel_educacion,Discapacidad,Tipo_formacion,Victima_del_conflicto,Disponibilidad_Equipo,tiempo_segundos,Eje_tematico,Eje Final,Puntaje_eje_tematico_selecionado,linea_1_programacion,linea_2_inteligecia_artificial,linea_3_analisis_de_datos,linea_4_blockchain,linea_5_arquitectura_en_la_nube,linea_1_des_programacion,linea_2_des_inteligecia_artificial,linea_3_des_analisis_de_datos,linea_4_des_blockchain,linea_5_des_arquitectura_en_la_nube,area_1_alfabetizacion_datos,area_2_comunicacion_y_colaboracion,area_3_contenidos_digitales,area_4_seguridad,area_5_solucion_de_problemas,area_6_igles,area_1_des_alfabetizacion_datos,area_2_des_comunicacion_y_colaboracion,area_3_des_contenidos_digitales,area_4_des_seguridad,area_5_des_solucion_de_problemas,Matriculado (SI o NO),"Estado (FORMADO, NO APROBADO, INACTIVO, EN FORMACION)",Programa de Formación (Nombre del Curso),"Cohorte (1,2,3,4,5,6,7 o 8)","Tipo de formación (PRESENCIAL,VIRTUAL,HIBRIDO)",Nivel,Asistencia horas,Total_horas posibles,dia,mes,year
1.0,0,2,0,5,0,0,0,1,4130,3,3,41.875,52.5,59.375,67.1429,41.875,33.5714,1,1,2,1,1,91,93,101,0,0,18,0,0,0,1,1,1,2,3,9,2,1,0,1,18,12,2023
0.0,0,3,0,4,0,0,0,1,5617,0,0,80.7143,80.7143,81.0714,83.3036,81.1607,80,0,0,0,0,2,98,92,92,88,85,31,0,0,0,0,0,1,1,5,0,2,2,147,1,18,12,2023
1.0,0,2,0,6,0,1,0,1,7201,0,0,78.9286,78.9286,75.9821,81.1607,78.4821,72.0536,2,2,0,2,2,97,85,100,88,63,29,0,0,0,0,2,1,1,5,9,2,2,159,1,18,12,2023
1.0,0,2,0,4,0,0,0,1,6895,0,0,15.9821,15.9821,39.0179,48.5714,31.9643,24.2857,1,1,1,1,1,93,86,0,0,0,5,0,0,1,1,1,0,0,0,0,0,0,-1,0,18,12,2023
1.0,0,3,0,6,0,0,0,1,4000,4,4,80.7143,85.3571,82.4107,85.3571,84.0179,80.7143,0,0,0,0,0,98,90,104,95,81,37,0,0,0,0,0,1,3,2,0,2,2,33,1,18,12,2023
1.0,0,4,0,6,0,0,0,1,6649,3,3,80.4464,82.9464,80.0893,82.5,80.4464,78.4821,0,0,0,0,2,94,87,102,89,81,28,0,0,0,0,0,1,1,3,9,2,1,159,1,17,12,2023
0.0,0,2,0,4,0,0,0,1,6990,0,0,70.4464,70.4464,70,77.6786,75.9821,55.8929,2,2,2,2,1,96,93,97,90,16,23,0,0,0,0,1,1,1,5,0,1,2,159,1,17,12,2023
1.0,0,2,0,6,0,0,0,1,4732,2,2,82.6786,86.0714,82.6786,82.9464,82.1429,82.2321,0,0,0,0,0,90,88,105,92,91,31,0,0,0,0,0,1,1,4,0,2,1,141,1,18,12,2023
1.0,0,1,2,2,0,0,0,1,4385,3,3,73.3036,70.625,69.8214,72.5,73.3036,70.8929,2,2,2,2,2,86,77,77,86,74,25,0,2,2,0,2,1,2,3,0,2,1,0,1,16,12,2023
0.0,0,2,0,2,0,0,0,1,5182,2,2,82.4107,83.3929,82.4107,82.5,81.9643,83.125,0,0,0,0,0,92,90,95,91,95,37,0,0,0,0,0,1,3,4,0,2,2,66,1,17,12,2023
1.0,0,3,0,6,0,0,0,1,6436,1,1,80.8929,83.8393,81.7857,80.8929,79.1071,81.5179,0,0,0,2,0,87,88,101,85,95,28,0,0,0,0,0,1,1,2,0,2,2,159,1,18,12,2023
1.0,0,2,0,6,0,0,0,1,6840,4,4,63.2143,72.8571,73.75,78.2143,77.1429,63.2143,2,2,2,2,2,93,95,93,89,39,23,0,0,0,0,1,1,2,1,0,2,2,0,1,18,12,2023
0.0,0,2,0,2,0,0,0,1,7019,3,3,39.6429,46.6964,55.4464,63.2143,39.6429,31.6071,1,1,2,1,1,89,90,86,0,0,7,0,0,0,1,1,1,3,1,0,2,1,2,1,18,12,2023
1.0,0,3,0,6,0,0,0,1,6998,2,2,40.4464,16.0714,40.4464,48.0357,32.1429,24.0179,1,1,1,1,1,89,91,0,0,0,13,0,0,1,1,1,1,1,4,11,2,2,159,1,16,12,2023
1.0,0,3,0,6,0,0,0,1,6968,3,3,73.125,69.4643,67.4107,74.7321,73.125,50.0893,2,2,2,2,1,89,91,104,88,3,23,0,0,0,0,1,1,1,3,11,2,1,153,1,18,12,2023
1.0,1,4,0,7,0,0,0,1,7019,1,1,85.8929,86.875,84.5536,85.8929,84.8214,82.8571,0,0,0,0,0,96,93,105,95,87,34,0,0,0,0,0,1,2,1,9,2,2,0,1,18,12,2023
1.0,0,4,0,2,0,0,0,1,6802,0,0,60.7143,60.7143,61.9643,70.8929,62.0536,43.4821,2,2,2,2,1,92,88,95,60,0,12,0,0,0,1,1,1,2,5,0,1,1,0,1,18,12,2023
1.0,0,3,0,7,0,0,0,1,7021,4,4,47.5,65,65.1786,74.375,69.375,47.5,2,2,2,2,1,95,91,97,77,0,15,0,0,0,2,1,1,2,4,0,1,1,0,1,18,12,2023
1.0,0,3,0,6,0,1,0,1,7020,2,2,83.125,83.5714,83.125,83.125,81.0714,80.7143,0,0,0,0,0,92,94,100,87,88,33,0,0,0,0,0,1,1,4,0,2,3,147,1,16,12,2023
1.0,0,2,0,2,0,0,0,1,6707,0,0,79.5536,79.5536,76.3393,77.9464,75.4464,74.6429,2,2,2,2,2,87,82,100,82,79,16,0,0,0,0,2,1,2,5,0,2,2,0,1,16,12,2023
1.0,0,3,0,2,0,0,0,1,5161,0,0,51.3393,51.3393,60,66.7857,42.0536,33.3929,1,1,2,1,1,90,97,97,0,0,18,0,0,0,1,1,1,1,5,0,1,1,159,1,16,12,2023
0.0,1,2,0,5,0,0,0,1,6682,0,0,40.3571,40.3571,51.6964,62.1429,38.8393,31.0714,1,1,2,1,1,97,87,67,0,0,10,0,0,2,1,1,1,2,5,9,2,1,0,1,16,12,2023
